Institution,Program,Level,Accredited
322.,Micro Award Principles of Operations Management,Certificate of Business Management,MQA/FA4029
323.,Micro Award English for Technical Purpose,Certificate of Business Management,MQA/FA4029
324.,Micro Award Aircraft Maintenance Technology,Certificate of Aviation Management,MQA/FA4030
325.,Micro Award English Proficiency For Academic Purpose,Certificate of Aviation Management,MQA/FA4030
326.,Micro Award Introduction to Aeronautical Knowledge,Certificate of Aviation Management,MQA/FA4030
327.,Micro Award Foundation of Airline Finance,Certificate of Aviation Management,MQA/FA4030
328.,Micro Award English Proficiency For Writing Purpose,Certificate of Aviation Management,MQA/FA4030
329.,Micro Award Aviation Marketing and Management,Certificate of Aviation Management,MQA/FA4030
330.,Micro Award Aviation System and Operation,Certificate of Aviation Management,MQA/FA4030
331.,Micro Award Fundamental of Air Traffic Control,Certificate of Aviation Management,MQA/FA4030
332.,Micro Award Aviation and Tourism,Certificate of Aviation Management,MQA/FA4030
333.,Micro Award Human Factors in Aviation,Certificate of Aviation Management,MQA/FA4030
334.,Micro Award Aviation English 1,Certificate of Aviation Management,MQA/FA4030
335.,Micro Award Aviation Regulations,Certificate of Aviation Management,MQA/FA4030
336.,Micro Award Aviation Organizations,Certificate of Aviation Management,MQA/FA4030
337.,Micro Award Aviation English 2,Certificate of Aviation Management,MQA/FA4030
338.,Micro Award Aeromedical in Aviation,Certificate of Aviation Management,MQA/FA4030
339.,Micro Award Aviation Weather Services,Certificate of Aviation Management,MQA/FA4030
340.,Micro Award Air Transport Environment,Certificate of Aviation Management,MQA/FA4030
341.,Micro Award Basic Drawing,Certificate in Creative Multimedia,MQA/FA4031
342.,Micro Award Multimedia Design,Certificate in Creative Multimedia,MQA/FA4031
343.,Micro Award Storyboarding,Certificate in Creative Multimedia,MQA/FA4031
344.,Micro Award Basic 3D Animation,Certificate in Creative Multimedia,MQA/FA4031
345.,Micro Award Basic Animation,Certificate in Creative Multimedia,MQA/FA4031
346.,Micro Award Desktop Publishing,Certificate in Creative Multimedia,MQA/FA4031
347.,Micro Award Typography,Certificate in Creative Multimedia,MQA/FA4031
348.,Micro Award Graphic Design,Certificate in Creative Multimedia,MQA/FA4031
349.,Micro Award Basic Web Design,Certificate in Creative Multimedia,MQA/FA4031
350.,Micro Award Video Editing,Certificate in Creative Multimedia,MQA/FA4031
351.,Micro Award Project Design,Certificate in Creative Multimedia,MQA/FA4031
352.,Micro Award Communication Design,Certificate in Creative Multimedia,MQA/FA4031
353.,Micro Award Image Editing,Certificate in Creative Multimedia,MQA/FA4031
354.,Micro Award Interactive Design,Certificate in Creative Multimedia,MQA/FA4031
355.,Micro Award Application Information Technology,Certificate in Creative Multimedia,MQA/FA4031
356.,English Proficiency for Academic Purpose,Certificate in Creative Multimedia,MQA/FA4031
357.,Micro Award English Proficiency for Writing Purpose,Certificate in Creative Multimedia,MQA/FA4031
358.,Micro Award Islamic Law of Consumerism,Diploma in Halal Industry Management,MQA/FA5969
359.,Micro Award Maqasid Al-Shariah,Diploma in Halal Industry Management,MQA/FA5969
360.,Micro Award Usul Fiqh,Diploma in Halal Industry Management,MQA/FA5969
361.,Micro Award Halal Internal Auditing,Diploma in Halal Industry Management,MQA/FA5969
362.,Micro Award Halal Slaughtering,Diploma in Halal Industry Management,MQA/FA5969
363.,Micro Award Fiqh Muamalat,Diploma in Halal Industry Management,MQA/FA5969
364.,Micro Award Al-Aqidah Al-Islamiah,Diploma in Halal Industry Management,MQA/FA5969
365.,Micro Award Bahasa Arab 2,Diploma in Halal Industry Management,MQA/FA5969
366.,Micro Award Business Communication,Diploma in Halal Industry Management,MQA/FA5969
367.,Micro Award Halal Law and Regulations,Diploma in Halal Industry Management,MQA/FA5969
368.,Micro Award Al-Qawaid Al-Fiqhiah,Diploma in Halal Industry Management,MQA/FA5969
369.,Micro Award Halal Supply Chain,Diploma in Halal Industry Management,MQA/FA5969
370.,Micro Award Halal Industry Services,Diploma in Halal Industry Management,MQA/FA5969
371.,Micro Award Halal Assurance System,Diploma in Halal Industry Management,MQA/FA5969
372.,Micro Award Al-Fiqh Al-Islami,Diploma in Halal Industry Management,MQA/FA5969
373.,Micro Award Halal Marketing,Diploma in Halal Industry Management,MQA/FA5969
374.,Micro Award English Proficiency for Academic Purposes,Diploma in Halal Industry Management,MQA/FA5969
375.,Micro Award Application of Information Technology,Diploma in Halal Industry Management,MQA/FA5969
376.,Micro Award Halal Certification Procedure,Diploma in Halal Industry Management,MQA/FA5969
377.,Micro Award Introduction to Halal Ingredient in Food Processing,Diploma in Halal Industry Management,MQA/FA5969
378.,Micro Award Fundamental of Halal Industry,Diploma in Halal Industry Management,MQA/FA5969
379.,Micro Award Principles of Islamic Business Management,Diploma in Halal Industry Management,MQA/FA5969
380.,Micro Award Halal Cosmetics and Pharmaceuticals,Diploma in Halal Industry Management,MQA/FA5969
381.,Micro Award Pentadbiran dan Pengurusan Islam,Diploma in Halal Industry Management,MQA/FA5969
382.,Micro Award Bahasa Arab 1,Diploma in Halal Industry Management,MQA/FA5969
383.,Micro Award Airport Cargo Management,Diploma in Aviation Management,MQA/FA9384
384.,Micro Award Air Traffic Management,Diploma in Aviation Management,MQA/FA9384
385.,Micro Award English Proficiency for Academic Purposes,Diploma in Aviation Management,MQA/FA9384
386.,Micro Award Application of Information Technology for Aviation,Diploma in Aviation Management,MQA/FA9384
387.,Micro Award Aviation System and Management,Diploma in Aviation Management,MQA/FA9384
388.,Micro Award English Proficiency for Writing Purposes,Diploma in Aviation Management,MQA/FA9384
389.,Micro Award Introduction to Accounting for Aviation,Diploma in Aviation Management,MQA/FA9384
390.,Micro Award Human Resource Management,Diploma in Aviation Management,MQA/FA9384
391.,Micro Award Principles of Management,Diploma in Aviation Management,MQA/FA9384
392.,Micro Award Business Statistics,Diploma in Aviation Management,MQA/FA9384
393.,Micro Award Airline Economics,Diploma in Aviation Management,MQA/FA9384
394.,Micro Award Meteorology,Diploma in Aviation Management,MQA/FA9384
395.,Micro Award Ground Handling,Diploma in Aviation Management,MQA/FA9384
396.,Micro Award Aviation Safety and Security,Diploma in Aviation Management,MQA/FA9384
397.,Micro Award Basic Aeronautical Knowledge,Diploma in Aviation Management,MQA/FA9384
398.,Micro Award Financial Analysis,Diploma in Aviation Management,MQA/FA9384
399.,Micro Award Airlines Routes Planning,Diploma in Aviation Management,MQA/FA9384
400.,Micro Award Principles of Economics,Diploma in Aviation Management,MQA/FA9384
401.,Micro Award Aviation Administration,Diploma in Aviation Management,MQA/FA9384
402.,Micro Award Airlines Marketing,Diploma in Aviation Management,MQA/FA9384
403.,Micro Award Customer Service,Diploma in Aviation Management,MQA/FA9384
404.,Micro Award Aviation Operations,Diploma in Aviation Management,MQA/FA9384
405.,Micro Award Airport Planning and Development,Diploma in Aviation Management,MQA/FA9384
406.,Micro Award Aircraft Maintenance Management,Diploma in Aviation Management,MQA/FA9384
407.,Micro Award Radio Aids and Navigation System,Diploma in Aviation Management,MQA/FA9384
408.,Microcredential in Beyond Classroom Learning,Diploma in Electrical and Electronic Engineering,MQA/FA9003
409.,Microcredential in Engineering Maths 2,Diploma in Electrical and Electronic Engineering,MQA/FA9003
410.,Microcredential in Analog Electronics 1,Diploma in Electrical and Electronic Engineering,MQA/FA9003
411.,Microcredential in Electrical Machines,Diploma in Electrical and Electronic Engineering,MQA/FA9003
412.,Microcredential in Project in Engineering,Diploma in Electrical and Electronic Engineering,MQA/FA9003
413.,Microcredential in Critical Thinking and Problem Solving,Diploma in Electrical and Electronic Engineering,MQA/FA9003
414.,Microcredential in Customer Service Excellence,Diploma in Electrical and Electronic Engineering,MQA/FA9003
415.,Microcredential in Introduction to Programming,Diploma in Electrical and Electronic Engineering,MQA/FA9003
416.,Microcredential in Basic Engineering Electromagnetism,Diploma in Electrical and Electronic Engineering,MQA/FA9003
417.,Microcredential in Computers and Program Design Fundamentals,Diploma in Electrical and Electronic Engineering,MQA/FA9003
418.,Microcredential in Microcredential in Digital Electronics,Diploma in Electrical and Electronic Engineering,MQA/FA9003
419.,Microcredential in Data Communication and Networking,Diploma in Electrical and Electronic Engineering,MQA/FA9003
420.,Microcredential in Analogue and Digital Communications,Diploma in Electrical and Electronic Engineering,MQA/FA9003
421.,Microcredential in Renewable and Sustainable Energy,Diploma in Electrical and Electronic Engineering,MQA/FA9003
422.,Microcredential in Engineering Laboratory Workshop,Diploma in Electrical and Electronic Engineering,MQA/FA9003
423.,Microcredential in Bahasa Melayu Komunikasi 1,Diploma in Electrical and Electronic Engineering,MQA/FA9003
424.,Microcredential in Etika Perbandingan,Diploma in Electrical and Electronic Engineering,MQA/FA9003
425.,Microcredential in Foundation Physics,Diploma in Electrical and Electronic Engineering,MQA/FA9003
426.,Microcredential in Engineering Maths 1,Diploma in Electrical and Electronic Engineering,MQA/FA9003
427.,Microcredential in Analog Electronics 2,Diploma in Electrical and Electronic Engineering,MQA/FA9003
428.,Microcredential in Microcontrollers,Diploma in Electrical and Electronic Engineering,MQA/FA9003
429.,Microcredential in Engineer and Society,Diploma in Electrical and Electronic Engineering,MQA/FA9003
430.,Microcredential in Engineering Maths 3,Diploma in Electrical and Electronic Engineering,MQA/FA9003
431.,Microcredential in Circuit Theory,Diploma in Electrical and Electronic Engineering,MQA/FA9003
432.,Microcredential in Eletrical Power,Diploma in Electrical and Electronic Engineering,MQA/FA9003
433.,Microcredential in Control Systems,Diploma in Electrical and Electronic Engineering,MQA/FA9003
434.,Microcredential in Embedded Systems,Diploma in Electrical and Electronic Engineering,MQA/FA9003
435.,Microcredential in Academic English,Diploma in Electrical and Electronic Engineering,MQA/FA9003
436.,Microcredential in Pengajian Malaysia 2,Diploma in Electrical and Electronic Engineering,MQA/FA9003
437.,Microcredential in Bahasa Kebangsaan A,Diploma in Electrical and Electronic Engineering,MQA/FA9003
438.,Microcredential in Industrial Training,Diploma in Electrical and Electronic Engineering,MQA/FA9003
439.,Micro-credential in Spatial Design,Diploma in Interior Design,A 8155
440.,Micro-credential in AutoCAD Essential,Diploma in Interior Design,A 8155
441.,Micro-credential in CAD 3D Essential,Diploma in Interior Design,A 8155
442.,Micro-credential in Introduction to Interior Design,Diploma in Interior Design,A 8155
443.,Micro-credential in Principles of Design,Diploma in Interior Design,A 8155
444.,Micro-credential in 3Ds Max Essential,Diploma in Interior Design,A 8155
445.,Micro-Credential in Principles of Marketing,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
446.,Micro-Credential in Principles of Management,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
447.,Micro-Credential in Principles of Accounting,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
448.,Micro-Credential in Introduction to E-commerce,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
449.,Micro-Credential in Organisational Behaviour,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
450.,Micro-Credential in Financial Management,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
451.,Micro-Credential in Human Resource Management,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
452.,Micro-Credential in Small Medium Business Venture,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
453.,Micro-Credential in Marketing Practices,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
454.,Micro-Credential in International Business,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
455.,Micro-Credential in Communication in the Workplace,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
456.,Micro-Credential in Information Technology in the Workplace,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
457.,Micro-Credential in English Language,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
458.,Micro-Credential in Entrepreneurship,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
459.,Micro-Credential in Business Ethics,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
460.,Micro-Credential in Microeconomics,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
461.,Micro-Credential in Macroeconomics,DIPLOMA IN BUSINESS ADMINISTRATION,A10317
462.,Micro-Credential in Estimating,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
463.,Micro-Credential in Contract Administration 1,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
464.,Micro-Credential in Contract Administration 2,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
465.,Micro-Credential in Project Management,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
466.,Micro-Credential in Quantity Surveying Practices & Procedures,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
467.,Micro-Credential in Engineering Drawings & CAD,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
468.,Micro-Credential in QS Software Application,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
469.,Micro-Credential in Construction Technology 1,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
470.,Micro-Credential in Construction Technology 2,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
471.,Micro-Credential in Construction Technology 3,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
472.,Micro-Credential in Entrepreneurship,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
473.,Micro-Credential in Building Economics I,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
474.,Micro-Credential in Building Economics II,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
475.,Micro-Credential in Building Services,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
476.,Micro-Credential in Building Quantities I,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
477.,Micro-Credential in Building Quantitities II,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
478.,Micro-Credential in Building Quantitities III,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
479.,Micro-Credential in Legal Studies,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
480.,Micro-Credential in CE Construction & Quantities I,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
481.,Micro-Credential in CE Construction & Quantities II,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
482.,Micro-Credential in Planning & Building By-Laws,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
483.,Micro-Credential in English Language,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
484.,Micro-Credential in Communication in the Workplace,DIPLOMA IN QUANTITY SURVEYING,MQA/FA4784
485.,Micro-Certification in Operations Management,Diploma in Business Administration,A5393
486.,Micro-Certification in Marketing Management,Diploma in Business Administration,A5393
487.,Micro-Certification in Fundamentals of Computing,Diploma in Business Administration,A5393
488.,Micro-Certification in Principles of Accounting,Diploma in Business Administration,A5393
489.,Micro-Certification in Business Communication,Diploma in Business Administration,A5393
490.,Micro-Certification in Business Organisation,Diploma in Business Administration,A5393
491.,Micro-Certification in Principles of Marketing,Diploma in Business Administration,A5393
492.,Micro-Certification in Business English,Diploma in Business Administration,A5393
493.,Micro-Certification in Business Skills and Learning,Diploma in Business Administration,A5393
494.,Micro-Certification in Principles of Investment,Diploma in Business Administration,A5393
495.,Micro-Certification in Electronic Commerce,Diploma in Business Administration,A5393
496.,Micro-Certification in Human Resource Management,Diploma in Business Administration,A5393
497.,"Micro-Certification in Public Relations, Promotion and Mass Communication",Diploma in Business Administration,A5393
498.,Micro-Certification in English for Learning,Diploma in Business Administration,A5393
499.,Micro-Certification in Management,Diploma in Business Administration,A5393
500.,Micro-Certification in Business Communication,Diploma in Accounting and Finance,A9007
501.,Micro-Certification in Financial Management,Diploma in Accounting and Finance,A9007
502.,Micro-Certification in Taxation,Diploma in Accounting and Finance,A9007
503.,Micro-Certification in Business Organisation,Diploma in Accounting and Finance,A9007
504.,Micro-Certification in Management,Diploma in Accounting and Finance,A9007
505.,Micro-Certification in Human Resource Management,Diploma in Accounting and Finance,A9007
506.,Micro-Certification in Fundamentals of Computing,Diploma in Accounting and Finance,A9007
507.,Micro-Certification in Principles of Accounting,Diploma in Accounting and Finance,A9007
